#{"t_start": 1649682621.0002048, "env_id": "Reacher-v2"}
r,l,t
-50.708999,50,51.930596
-55.851071,50,51.979529
-42.129773,50,52.030006
-36.907212,50,52.080405
-56.161516,50,53.51965
-35.360356,50,53.568835
-39.616979,50,53.61981
-33.738071,50,53.669487
-49.441882,50,53.719319
-38.040563,50,53.765676
-35.858044,50,53.811922
-41.491931,50,53.858199
-58.666401,50,53.904592
-45.222866,50,53.95302
-56.922291,50,54.000174
-42.777184,50,54.047036
-43.700694,50,54.094006
-41.162419,50,54.140684
-45.237453,50,54.188498
-44.183369,50,54.23835
-38.064166,50,54.28891
-46.727871,50,54.338573
-44.839089,50,54.388317
-39.305759,50,54.438812
-36.479028,50,54.490928
-52.753172,50,54.539997
-47.261833,50,54.590043
-38.428121,50,54.640126
-43.459713,50,54.68896
-56.737892,50,54.739515
-49.160016,50,54.790316
-45.489216,50,54.840909
-38.395885,50,54.89142
-48.313265,50,54.9414
-47.996652,50,54.991685
-60.384312,50,55.042964
-46.838848,50,55.093576
-48.191912,50,55.144131
-57.696261,50,55.194649
-43.924362,50,55.245422
-50.17825,50,55.294729
-43.034176,50,55.344609
-48.72594,50,55.39568
-54.572927,50,55.446424
-49.154653,50,55.497133
-49.183799,50,56.956336
-35.567916,50,57.006891
-39.464253,50,57.05677
-32.482551,50,57.106747
-41.601753,50,57.158317
-40.140238,50,57.208192
-43.970069,50,57.259334
-42.413298,50,57.309744
-33.889943,50,57.359725
-37.561465,50,57.409467
-43.884099,50,57.459313
-37.626773,50,57.50923
-53.247248,50,57.559287
-39.946906,50,57.607922
-45.089436,50,57.658443
-38.289186,50,57.708238
-41.051805,50,57.758677
-38.762743,50,57.808604
-48.893297,50,57.858616
-35.86691,50,57.905336
-44.019608,50,57.951709
-42.636146,50,57.998077
-36.719412,50,58.04438
-33.028582,50,58.0935
-34.917673,50,58.143042
-41.826833,50,58.195976
-40.721025,50,58.243056
-45.454745,50,58.289824
-42.828432,50,58.337108
-30.902925,50,58.383764
-35.218668,50,58.433146
-36.258712,50,58.483159
-43.091267,50,58.533507
-39.846894,50,58.58347
-52.672416,50,58.633062
-41.166,50,58.682807
-51.284623,50,58.73235
-52.638379,50,58.781786
-35.998611,50,58.831833
-40.915906,50,58.881579
-35.301956,50,58.929549
-38.848651,50,60.376758
-45.950222,50,60.427732
-30.070945,50,60.478338
-43.87462,50,60.528016
-35.491133,50,60.5786
-36.933993,50,60.628638
-39.307879,50,60.679554
